"state","city_key","city"
"AL","meridianville","Meridianville"
"AL","midfield","Midfield"
"AL","midland city","Midland City"
"AL","midway","Midway"
"AL","mignon","Mignon"
"AL","millbrook","Millbrook"
"AL","millerville","Millerville"
"AL","millport","Millport"
"AL","millry","Millry"
"AL","minor","Minor"
"AL","mobile","Mobile"
"AL","monroeville","Monroeville"
"AL","montevallo","Montevallo"
"AL","montgomery","Montgomery"
"AL","moody","Moody"
"AL","moores mill","Moores Mill"
"AL","mooresville","Mooresville"
"AL","morris","Morris"
"AL","morrison crossroads","Morrison Crossroads"
"AL","mosses","Mosses"
"AL","moulton","Moulton"
"AL","moundville","Moundville"
"AL","mount olive","Mount Olive"
"AL","mount vernon","Mount Vernon"
"AL","mountain brook","Mountain Brook"
"AL","movico","Movico"
"AL","mulga","Mulga"
"AL","munford","Munford"
"AL","muscle shoals","Muscle Shoals"
"AL","myrtlewood","Myrtlewood"
"AL","nanafalia","Nanafalia"
"AL","nances creek","Nances Creek"
"AL","napier field","Napier Field"
"AL","natural bridge","Natural Bridge"
"AL","nauvoo","Nauvoo"
"AL","nectar","Nectar"
"AL","needham","Needham"
"AL","new brockton","New Brockton"
"AL","new hope","New Hope"
"AL","new market","New Market"
"AL","new site","New Site"
"AL","new union","New Union"
"AL","newbern","Newbern"
"AL","newton","Newton"
"AL","newville","Newville"
"AL","nixburg","Nixburg"
"AL","north courtland","North Courtland"
"AL","north johns","North Johns"
"AL","northport","Northport"
"AL","notasulga","Notasulga"
"AL","oak grove","Oak Grove"
"AL","oak hill","Oak Hill"
"AL","oakman","Oakman"
"AL","odenville","Odenville"
"AL","ohatchee","Ohatchee"
"AL","oneonta","Oneonta"
"AL","onycha","Onycha"
"AL","opelika","Opelika"
"AL","opp","Opp"
"AL","orange beach","Orange Beach"
"AL","orrville","Orrville"
"AL","our town","Our Town"
"AL","owens cross roads","Owens Cross Roads"
"AL","oxford","Oxford"
"AL","ozark","Ozark"
"AL","paint rock","Paint Rock"
"AL","panola","Panola"
"AL","parrish","Parrish"
"AL","pea ridge","Pea Ridge"
"AL","pelham","Pelham"
"AL","pell city","Pell City"
"AL","pennington","Pennington"
"AL","penton","Penton"
"AL","perdido","Perdido"
"AL","perdido beach","Perdido Beach"
"AL","peterman","Peterman"
"AL","petrey","Petrey"
"AL","phenix city","Phenix City"
"AL","phil campbell","Phil Campbell"
"AL","pickensville","Pickensville"
"AL","piedmont","Piedmont"
"AL","pike road","Pike Road"
"AL","pinckard","Pinckard"
"AL","pine apple","Pine Apple"
"AL","pine hill","Pine Hill"
"AL","pine level","Pine Level"
"AL","pine ridge","Pine Ridge"
"AL","pinson","Pinson"
"AL","pisgah","Pisgah"
"AL","pleasant grove","Pleasant Grove"
"AL","pleasant groves","Pleasant Groves"
"AL","point clear","Point Clear"
"AL","pollard","Pollard"
"AL","powell","Powell"
"AL","prattville","Prattville"
"AL","priceville","Priceville"
"AL","prichard","Prichard"
"AL","providence","Providence"
"AL","putnam","Putnam"
"AL","ragland","Ragland"
"AL","rainbow city","Rainbow City"
"AL","rainsville","Rainsville"
"AL","ranburne","Ranburne"
"AL","ray","Ray"
"AL","red bay","Red Bay"
"AL","red level","Red Level"
"AL","redland","Redland"
"AL","redstone arsenal","Redstone Arsenal"
"AL","reece city","Reece City"
"AL","reeltown","Reeltown"
"AL","reform","Reform"
"AL","rehobeth","Rehobeth"
"AL","remlap","Remlap"
"AL","repton","Repton"
"AL","ridgeville","Ridgeville"
"AL","river falls","River Falls"
"AL","riverside","Riverside"
"AL","riverview","Riverview"
"AL","roanoke","Roanoke"
"AL","robertsdale","Robertsdale"
"AL","rock creek","Rock Creek"
"AL","rock mills","Rock Mills"
"AL","rockford","Rockford"
"AL","rockville","Rockville"
"AL","rogersville","Rogersville"
"AL","rosa","Rosa"
"AL","russellville","Russellville"
"AL","rutledge","Rutledge"
"AL","saks","Saks"
"AL","samson","Samson"
"AL","sand rock","Sand Rock"
"AL","sanford","Sanford"
"AL","saraland","Saraland"
"AL","sardis city","Sardis City"
"AL","satsuma","Satsuma"
"AL","scottsboro","Scottsboro"
"AL","section","Section"
"AL","selma","Selma"
"AL","selmont-west selmont","Selmont-West Selmont"
"AL","semmes","Semmes"
"AL","sheffield","Sheffield"
"AL","shelby","Shelby"
"AL","shiloh","Shiloh"
"AL","shoal creek","Shoal Creek"
"AL","shorter","Shorter"
"AL","silas","Silas"
"AL","silverhill","Silverhill"
"AL","sims chapel","Sims Chapel"
"AL","sipsey","Sipsey"
"AL","skyline","Skyline"
"AL","slocomb","Slocomb"
"AL","smiths station","Smiths Station"
"AL","smoke rise","Smoke Rise"
"AL","snead","Snead"
"AL","somerville","Somerville"
"AL","south vinemont","South Vinemont"
"AL","southside","Southside"
"AL","spanish fort","Spanish Fort"
"AL","spring garden","Spring Garden"
"AL","springville","Springville"
"AL","spruce pine","Spruce Pine"
"AL","st. florian","St. Florian"
"AL","st. stephens","St. Stephens"
"AL","standing rock","Standing Rock"
"AL","stapleton","Stapleton"
"AL","steele","Steele"
"AL","sterrett","Sterrett"
"AL","stevenson","Stevenson"
"AL","stewartville","Stewartville"
"AL","stockton","Stockton"
"AL","sulligent","Sulligent"
"AL","sumiton","Sumiton"
"AL","summerdale","Summerdale"
"AL","susan moore","Susan Moore"
"AL","sweet water","Sweet Water"
"AL","sylacauga","Sylacauga"
"AL","sylvan springs","Sylvan Springs"
"AL","sylvania","Sylvania"
"AL","talladega","Talladega"
"AL","talladega springs","Talladega Springs"
"AL","tallassee","Tallassee"
"AL","tarrant","Tarrant"
"AL","taylor","Taylor"
"AL","theodore","Theodore"
